index,caseId,caseName,issue,issueArea,decisionDirection,partyWinning,splitVote,majVotes,minVotes,petitioner,respondent,jurisdiction,threeJudgeFdc,caseOrigin,caseSource,lcDisagreement,lcDisposition,lcDispositionDirection,justice1,justice2,justice3,justice4,justice5,justice6,justice7,justice8,justice9,justice1Code,justice2Code,justice3Code,justice4Code,justice5Code,justice6Code,justice7Code,justice8Code,justice9Code,justice1Direction,justice2Direction,justice3Direction,justice4Direction,justice5Direction,justice6Direction,justice7Direction,justice8Direction,justice9Direction,justice1Vote,justice2Vote,justice3Vote,justice4Vote,justice5Vote,justice6Vote,justice7Vote,justice8Vote,justice9Vote,justice1Opinion,justice2Opinion,justice3Opinion,justice4Opinion,justice5Opinion,justice6Opinion,justice7Opinion,justice8Opinion,justice9Opinion,justice1Majority,justice2Majority,justice3Majority,justice4Majority,justice5Majority,justice6Majority,justice7Majority,justice8Majority,justice9Majority
17,1946018,"UNITED STATES v. RUZICKA ET AL., TRADING AS SEELEY DAIRY",80170,8,2,1,1,9,0,27,158,1,0,66,27,1,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
18,1946019,"ROTHENSIES, COLLECTOR OF INTERNAL REVENUE, v. ELECTRIC STORAGE BATTERY CO.",120010,12,2,1,1,6,3,369,240,1,0,109,23,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2
19,1946020,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. SAMUELS",30130,3,1,1,1,9,0,306,142,1,0,92,23,0,4,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
20,1946021,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. HOROWITZ",30130,3,1,1,1,9,0,306,142,1,0,92,23,0,4,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
21,1946022,NATIONAL LABOR RELATIONS BOARD v. A. J. TOWER CO.,70100,7,2,1,1,8,1,382,151,1,0,21,21,0,8,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2
22,1946023,GIBSON v. UNITED STATES,30130,3,2,1,1,9,0,142,27,1,0,115,28,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2
23,1946024,"ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",120030,12,2,0,1,7,2,28,369,1,0,302,300,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,1,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2
24,1946025,UNITED STATES v. SHERIDAN,10430,1,1,1,1,7,2,27,100,1,0,81,26,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1
25,1946026,EDWARD KATZINGER CO. v. CHICAGO METALLIC MANUFACTURING CO.,80180,8,2,0,1,5,4,172,177,1,0,66,27,0,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2
26,1946027,MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.,80180,8,2,1,1,5,4,177,172,6,0,302,300,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2
27,1946028,"INTERNATIONAL HARVESTER CO. v. EVATT, TAX COMMISSIONER",80100,8,2,0,1,9,0,25,19,2,0,300,300,0,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2
28,1946029,"UNITED STATES ET AL. v. SEATRAIN LINES, INC.",80230,8,1,0,1,9,0,27,116,2,1,54,54,0,8,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
29,1946030,"STEELE v. GENERAL MILLS, INC.",80110,8,2,1,1,9,0,245,234,1,0,120,25,1,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
30,1946031,BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM ET AL. v. AGNEW ET AL.,80120,8,2,1,1,9,0,354,119,1,0,55,32,1,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,3,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2
31,1946032,"JESIONOWSKI, ADMINISTRATRIX, v. BOSTON & MAINE RAILROAD",80040,8,2,1,1,6,3,145,231,1,0,80,21,0,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,3,3,1,1,3,2,1,1,1,1,1,2,2,1,2,2,2,2
32,1946033,"LOUISIANA EX REL. FRANCIS v. RESWEBER, SHERIFF, ET AL.",10130,1,1,0,1,5,4,126,28,1,0,302,300,0,9,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,1,2,1,1,1,2,2,1,2,1,2,4,5,1,2,2,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,2
34,1946035,"HICKMAN, ADMINISTRATOR, v. TAYLOR ET AL., TRADING AS TAYLOR & ANDERSON TOWING & LIGHTERAGE CO., ET AL.",50040,5,1,0,1,9,0,145,116,1,0,109,23,0,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2
35,1946036,ORDER OF RAILWAY CONDUCTORS OF AMERICA ET AL. v. SWAN ET AL.,90320,9,2,0,1,8,1,249,384,1,0,66,27,0,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2
36,1946037,"PARKER ET AL. v. FLEMING, TEMPORARY CONTROLS ADMINISTRATOR",90120,9,2,1,1,6,3,241,389,1,0,10,10,0,9,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1
37,1946038,"PATTERSON, SECRETARY OF WAR, ET AL. v. LAMB",90120,9,1,1,1,9,0,324,142,1,0,55,32,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
39,1946040,"GARDNER, TRUSTEE, v. NEW JERSEY",80030,8,2,1,1,9,0,114,28,1,0,92,23,0,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
41,1946042,"KRUG, SECRETARY OF THE INTERIOR, ET AL. v. SANTA FE PACIFIC RAILROAD CO.",80220,8,2,1,1,9,0,326,231,1,0,55,32,0,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
42,1946043,ALBRECHT ET AL. v. UNITED STATES,40070,4,2,0,1,7,2,195,27,1,0,86,28,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,3,1,3,2,1,1,1,2,2,1,2,1,2,2,2,2
43,1946044,INSURANCE GROUP COMMITTEE ET AL. v. DENVER & RIO GRANDE WESTERN RAILROAD CO. ET AL.,80220,8,2,1,1,8,1,135,138,1,0,52,28,0,1,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2
44,1946045,TRANSPARENT-WRAP MACHINE CORP. v. STOKES & SMITH CO.,80180,8,1,1,1,5,4,172,177,1,0,96,22,1,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,3,1,2,1,1,3,3,2,1,1,2,2,2,2,1,1,1,2
45,1946046,ELLIS v. UNION PACIFIC RAILROAD CO.,80040,8,2,1,1,9,0,145,231,1,0,302,300,0,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
47,1946048,De MEERLEER v. MICHIGAN,10120,1,2,1,1,9,0,100,28,1,0,302,300,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
48,1946049,EVERSON v. BOARD OF EDUCATION OF THE TOWNSHIP OF EWING ET AL.,30170,3,1,0,1,5,4,25,21,2,0,302,300,0,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2
51,1946052,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. NASHVILLE, CHATTANOOGA & ST. LOUIS RAILWAY",70040,7,1,0,1,9,0,371,151,1,0,117,26,1,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
52,1946053,BOZZA v. UNITED STATES,10170,1,1,0,1,9,0,100,27,1,0,92,23,0,6,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
54,1946055,ANGEL v. BULLINGTON,90460,9,1,1,1,6,3,123,233,1,0,100,24,0,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,1,2,2
55,1946056,CONE v. WEST VIRGINIA PULP & PAPER CO.,90330,9,1,1,1,9,0,195,243,1,0,114,24,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
56,1946057,NATIONAL LABOR RELATIONS BOARD v. DONNELLY GARMENT CO. ET AL.,70070,7,2,1,1,9,0,382,151,1,0,28,28,1,9,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
57,1946058,"UNITED STATES v. POWELL ET AL., RECEIVERS",80220,8,1,0,1,8,1,27,231,1,0,126,24,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2
58,1946059,NORTHERN PACIFIC RAILWAY CO. v. UNITED STATES,80220,8,2,0,1,9,0,231,27,1,0,133,27,0,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
60,1946061,TESTA ET AL. v. KATT,100050,10,2,1,1,9,0,123,125,1,0,302,301,0,4,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
62,1946063,"JOSEPH, COMPTROLLER, et al. v. CARTER & WEEKES STEVEDORING CO.",80100,8,1,0,1,5,4,19,25,1,0,302,301,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,2
63,1946064,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",80050,8,2,0,1,7,2,116,145,1,0,96,22,0,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1
64,1946065,AETNA CASUALTY & SURETY CO. ET AL. v. FLOWERS,90140,9,2,1,1,9,0,171,145,1,0,116,26,0,11,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
65,1946066,"CARDILLO, DEPUTY COMMISSIONER, UNITED STATES EMPLOYEES' COMPENSATION COMMISSION, v. LIBERTY MUTUAL INSURANCE CO. ET AL.",80040,8,2,1,1,7,2,331,171,1,0,55,32,1,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2
66,1946067,PACKARD MOTOR CAR CO. v. NATIONAL LABOR RELATIONS BOARD,70070,7,2,0,1,5,4,189,382,1,0,26,26,0,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1
67,1946068,"GULF OIL CORP. v. GILBERT, DOING BUSINESS AS GILBERT STORAGE & TRANSFER CO.",90140,9,2,1,1,5,4,198,122,1,0,96,22,1,3,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,3,2,1,1,3,2,1,1,1,1,2,2,2,1,1,1,2,2
68,1946069,KOSTER v. (AMERICAN) LUMBERMENS MUTUAL CASUALTY CO.,90140,9,2,0,1,5,4,237,171,1,0,94,22,1,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2
69,1946070,"UNITED STATES DEPARTMENT OF AGRICULTURE, EMERGENCY CROP AND FEED LOANS v. REMUND, ADMINISTRATOR",120030,12,2,1,1,8,1,304,102,1,0,302,300,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2
70,1946071,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. GENERAL INDUSTRIES CO.",70040,7,1,0,1,6,3,371,151,1,0,103,26,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2
71,1946072,KOTCH ET AL. v. BOARD OF RIVER PORT PILOT COMMISSIONERS FOR THE PORT OF NEW ORLEANS ET AL.,20060,2,1,0,1,5,4,177,4,2,0,302,300,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,1,2,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2
72,1946073,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",80230,8,2,0,1,7,2,366,116,2,1,66,66,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,2,2,2
73,1946074,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,10080,1,2,0,1,7,2,185,405,1,0,29,29,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,1,2,1,2,2,2,2,2,1,2,1,2,1,1,4,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2
